Date,Estimated TWh per Year,Minimum TWh per Year
2/10/2017,9.585659,3.331026
2/11/2017,9.547335,3.316227
2/12/2017,9.578774,3.198969
2/13/2017,9.476506,3.045178
2/14/2017,9.544807,3.150062
2/15/2017,9.569006,3.337440
2/16/2017,9.392170,3.330369
2/17/2017,9.323759,3.238448
2/18/2017,9.326974,3.173321
2/19/2017,9.319239,3.189253
2/20/2017,9.290790,3.270461
2/21/2017,9.439585,3.207710
2/22/2017,9.509757,3.082207
2/23/2017,9.507110,3.119119
2/24/2017,9.474555,3.030529
2/25/2017,9.634632,3.237240
2/26/2017,9.826989,3.377508
2/27/2017,10.146076,3.783547
2/28/2017,10.187616,3.676501
3/1/2017,10.233585,3.621132
3/2/2017,10.428111,3.366434
3/3/2017,10.421708,3.361435
3/4/2017,10.400341,3.333887
3/5/2017,10.403794,3.426495
3/6/2017,10.403279,3.345463
3/7/2017,10.405585,3.326169
3/8/2017,10.425423,3.279865
3/9/2017,10.472803,3.407201
3/10/2017,10.371934,3.434212
3/11/2017,10.373199,3.538396
3/12/2017,10.319774,3.384049
3/13/2017,10.300868,3.557689
3/14/2017,10.350885,3.441929
3/15/2017,10.454855,3.615569
3/16/2017,10.457564,3.364756
3/17/2017,10.498495,3.438060
3/18/2017,10.495074,3.441955
3/19/2017,10.134133,3.784557
3/20/2017,10.436232,3.804475
3/21/2017,10.759456,3.645126
3/22/2017,10.797738,3.481792
3/23/2017,10.444763,3.465857
3/24/2017,10.175564,3.465857
3/25/2017,9.588049,3.754608
3/26/2017,9.726006,3.649109
3/27/2017,9.921832,3.704882
3/28/2017,10.434715,3.473825
3/29/2017,10.443765,3.712849
3/30/2017,10.444552,3.581954
3/31/2017,10.541374,3.615105
4/1/2017,10.728365,3.577448
4/2/2017,10.669188,3.606737
4/3/2017,10.794943,3.577448
4/4/2017,10.888341,3.748998
4/5/2017,10.920086,3.845233
4/6/2017,10.951534,3.870338
4/7/2017,10.958124,3.717702
4/8/2017,10.852988,3.765734
4/9/2017,10.998524,3.807576
4/10/2017,11.002822,3.853601
4/11/2017,10.991709,3.761550
4/12/2017,11.061886,3.845968
4/13/2017,11.188468,3.768300
4/14/2017,11.122378,3.973289
4/15/2017,11.086170,3.598204
4/16/2017,11.201227,3.598204
4/17/2017,11.176836,3.637457
4/18/2017,11.126425,3.816276
4/19/2017,11.119900,3.733409
4/20/2017,11.094863,3.759578
4/21/2017,11.097822,3.694156
4/22/2017,11.150658,3.824999
4/23/2017,11.120162,3.864253
4/24/2017,11.183543,4.012542
4/25/2017,11.223273,3.916590
4/26/2017,11.029476,3.757000
4/27/2017,11.078393,3.776735
4/28/2017,11.166591,3.724281
4/29/2017,11.255161,3.802963
4/30/2017,11.363104,3.920986
5/1/2017,11.485689,4.017153
5/2/2017,11.573177,4.178888
5/3/2017,11.672432,4.047751
5/4/2017,11.734206,3.942842
5/5/2017,11.860694,3.916614
5/6/2017,11.865861,3.837932
5/7/2017,12.040603,4.073978
5/8/2017,12.178848,4.165774
5/9/2017,12.416249,4.365217
5/10/2017,12.760315,4.051657
5/11/2017,12.794849,4.440879
5/12/2017,12.964961,4.300196
5/13/2017,13.107483,4.103241
5/14/2017,13.131604,4.211098
5/15/2017,13.305365,4.347091
5/16/2017,13.512841,4.576872
5/17/2017,13.580298,4.464326
5/18/2017,13.797434,4.309575
5/19/2017,13.679270,4.112620
5/20/2017,13.600015,4.159514
5/21/2017,13.641316,4.323644
5/22/2017,13.686034,4.356469
5/23/2017,13.683696,4.317320
5/24/2017,13.775350,4.311780
5/25/2017,13.793976,4.681076
5/26/2017,13.748231,4.870715
5/27/2017,13.676488,4.760924
5/28/2017,13.540657,4.661114
5/29/2017,13.469546,4.800848
5/30/2017,13.427811,4.701038
5/31/2017,13.557689,5.010448
6/1/2017,13.426955,4.935591
6/2/2017,13.394712,5.165153
6/3/2017,13.573993,4.955553
6/4/2017,13.740334,4.968229
6/5/2017,13.938293,4.911154
6/6/2017,14.178490,5.729680
6/7/2017,14.024854,4.956628
6/8/2017,14.486041,5.496627
6/9/2017,14.658979,5.507996
6/10/2017,14.805168,5.985469
6/11/2017,14.911539,5.183996
6/12/2017,14.674230,4.990733
6/13/2017,14.710701,5.081680
6/14/2017,14.434346,4.916838
6/15/2017,14.150359,4.877049
6/16/2017,13.886351,4.803154
6/17/2017,14.013877,5.158798
6/18/2017,13.925264,5.149470
6/19/2017,13.867197,5.197150
6/20/2017,13.894981,5.012389
6/21/2017,14.293346,5.203110
6/22/2017,13.956383,5.185230
6/23/2017,13.875205,4.988549
6/24/2017,13.985243,5.125630
6/25/2017,14.010438,5.185230
6/26/2017,14.016468,5.381911
6/27/2017,13.908985,4.917028
6/28/2017,13.865891,4.869348
6/29/2017,13.817346,4.827628
6/30/2017,13.718672,4.899148
7/1/2017,13.655529,5.031062
7/2/2017,13.667126,5.127490
7/3/2017,13.962969,5.762492
7/4/2017,14.226136,6.136371
7/5/2017,14.299971,6.029549
7/6/2017,14.538846,5.809969
7/7/2017,14.545801,5.471697
7/8/2017,14.317898,5.263986
7/9/2017,14.345517,5.341136
7/10/2017,14.428401,5.574948
7/11/2017,14.807355,5.639561
7/12/2017,14.896251,5.614127
7/13/2017,14.703251,5.620062
7/14/2017,14.646068,5.686190
7/15/2017,14.574521,5.742060
7/16/2017,14.489039,5.821651
7/17/2017,14.555819,5.885409
7/18/2017,14.558630,5.920934
7/19/2017,14.594084,5.896521
7/20/2017,14.532935,5.926260
7/21/2017,14.491936,5.933912
7/22/2017,14.548440,6.026135
7/23/2017,14.619327,6.113721
7/24/2017,14.709910,6.196495
7/25/2017,14.684038,6.314881
7/26/2017,14.633038,6.456366
7/27/2017,14.705536,6.526628
7/28/2017,14.764988,6.514871
7/29/2017,14.868717,6.474268
7/30/2017,14.923478,6.495708
7/31/2017,14.957510,6.548384
8/1/2017,15.048474,6.551967
8/2/2017,15.132729,6.493446
8/3/2017,15.211765,6.451325
8/4/2017,15.311372,6.489631
8/5/2017,15.417897,6.512271
8/6/2017,15.461247,6.496834
8/7/2017,15.436381,6.542116
8/8/2017,15.422930,6.609008
8/9/2017,15.429302,6.694425
8/10/2017,15.405257,6.730024
8/11/2017,15.494849,6.753990
8/12/2017,15.655122,6.806421
8/13/2017,15.767927,6.774785
8/14/2017,15.914245,6.646461
8/15/2017,16.016425,6.574967
8/16/2017,15.986175,6.486605
8/17/2017,16.022572,6.498894
8/18/2017,16.041193,6.463550
8/19/2017,15.956570,6.484536
8/20/2017,16.056567,6.572896
8/21/2017,16.101027,6.754035
8/22/2017,16.028126,6.841290
8/23/2017,16.050033,6.839081
8/24/2017,16.149576,6.637067
8/25/2017,16.224660,6.636170
8/26/2017,16.254913,6.428746
8/27/2017,16.303751,6.273183
8/28/2017,16.361553,5.864538
8/29/2017,16.224043,5.567789
8/30/2017,16.247743,5.483495
8/31/2017,16.374100,5.597553
9/1/2017,16.368440,5.616679
9/2/2017,16.258789,5.818565
9/3/2017,16.362413,6.088455
9/4/2017,16.327326,6.445474
9/5/2017,16.546497,7.087016
9/6/2017,16.647712,7.733350
9/7/2017,16.643856,7.849170
9/8/2017,16.693042,7.893419
9/9/2017,16.697221,8.160968
9/10/2017,16.569972,8.354811
9/11/2017,16.651157,8.495543
9/12/2017,16.731554,8.561467
9/13/2017,16.802627,8.576738
9/14/2017,16.859034,8.698560
9/15/2017,16.945575,8.916277
9/16/2017,17.075445,8.942532
9/17/2017,17.163578,8.976239
9/18/2017,17.301709,8.992827
9/19/2017,17.437451,9.076115
9/20/2017,17.544211,9.221437
9/21/2017,17.680440,9.461806
9/22/2017,17.773970,9.455305
9/23/2017,17.907048,9.423781
9/24/2017,18.000538,9.430016
9/25/2017,18.135773,9.615420
9/26/2017,18.273680,9.780134
9/27/2017,18.381479,9.802295
9/28/2017,18.530977,9.637997
9/29/2017,18.640420,9.643780
9/30/2017,18.791896,9.653284
10/1/2017,18.904496,9.683526
10/2/2017,19.058123,9.651117
10/3/2017,19.210548,9.826947
10/4/2017,19.323688,10.047759
10/5/2017,19.477304,10.355583
10/6/2017,19.591989,10.675578
10/7/2017,19.750245,11.097075
10/8/2017,19.870016,11.303704
10/9/2017,20.033618,11.216850
10/10/2017,20.170783,10.899216
10/11/2017,20.331353,10.719012
10/12/2017,20.516589,10.549903
10/13/2017,20.668871,10.343117
10/14/2017,20.871564,10.063501
10/15/2017,21.033438,9.828679
10/16/2017,21.240044,9.912917
10/17/2017,21.393736,9.946726
10/18/2017,21.593370,10.061403
10/19/2017,21.752714,10.164933
10/20/2017,21.965030,10.229319
10/21/2017,22.134802,10.156809
10/22/2017,22.345028,10.302777
10/23/2017,22.504197,10.361076
10/24/2017,22.706956,10.549132
10/25/2017,22.910327,10.501538
10/26/2017,23.072362,10.472824
10/27/2017,23.278899,10.578094
10/28/2017,23.432910,10.902377
10/29/2017,23.646575,11.579431
10/30/2017,23.817605,12.238898
10/31/2017,24.053521,12.434215
11/1/2017,24.250117,12.592021
11/2/2017,24.515028,12.620767
11/3/2017,24.734129,12.610526
11/4/2017,25.021384,12.554291
11/5/2017,25.254648,11.993885
11/6/2017,25.540869,11.414449
11/7/2017,25.756664,11.240190
11/8/2017,26.046420,11.235007
11/9/2017,26.274397,11.363969
11/10/2017,26.557763,11.465225
11/11/2017,26.776968,11.459722
11/12/2017,27.054336,11.586803
11/13/2017,27.282116,12.080855
11/14/2017,27.601100,12.451570
11/15/2017,27.890876,12.715179
11/16/2017,28.247716,12.533736
11/17/2017,28.475893,12.385968
11/18/2017,28.670776,12.244479
11/19/2017,28.855782,11.996753
11/20/2017,29.051964,11.585927
11/21/2017,29.243636,11.339460
11/22/2017,29.517921,11.289929
11/23/2017,29.863623,11.584055
11/24/2017,30.133149,11.907289
11/25/2017,30.156057,12.139600
11/26/2017,30.137970,12.265144
11/27/2017,30.225590,12.289107
11/28/2017,30.245433,12.262953
11/29/2017,30.286894,12.172773
11/30/2017,30.592242,12.095599
12/1/2017,30.989877,12.023528
12/2/2017,31.048919,12.020032
12/3/2017,31.252903,12.203645
12/4/2017,31.602450,12.316701
12/5/2017,31.960576,12.461792
12/6/2017,32.362586,12.563757
12/7/2017,32.555942,12.686545
12/8/2017,32.529601,12.700994
12/9/2017,32.561734,13.075506
12/10/2017,32.564965,13.263748
12/11/2017,32.684309,13.343572
12/12/2017,32.714563,13.533361
12/13/2017,32.728477,13.746954
12/14/2017,33.175692,13.962485
12/15/2017,33.733853,14.227670
12/16/2017,34.341736,14.242313
12/17/2017,34.960117,14.431054
12/18/2017,34.862957,14.679048
12/19/2017,35.136745,14.766465
12/20/2017,35.767079,14.822562
12/21/2017,36.318432,15.361404
12/22/2017,36.749367,15.765201
12/23/2017,37.019362,15.878954
12/24/2017,37.126040,15.819931
12/25/2017,37.169979,15.809387
12/26/2017,37.156117,15.956015
12/27/2017,37.108242,16.050690
12/28/2017,36.948768,15.620825
12/29/2017,36.806560,15.342379
12/30/2017,36.631920,15.314593
12/31/2017,36.677650,15.525524
1/1/2018,36.795051,15.686554
1/2/2018,36.964525,15.704433
1/3/2018,37.215942,15.953231
1/4/2018,37.485663,16.315091
1/5/2018,37.802852,16.589148
1/6/2018,38.209701,16.896212
1/7/2018,38.597650,16.997834
1/8/2018,39.026544,17.202595
1/9/2018,39.440279,17.350801
1/10/2018,39.844013,17.379515
1/11/2018,40.239732,17.359836
1/12/2018,40.637299,17.513203
1/13/2018,41.045000,17.662112
1/14/2018,41.423502,17.836523
1/15/2018,41.792179,17.945307
1/16/2018,42.104971,18.439371
1/17/2018,42.383637,18.813148
1/18/2018,42.691049,18.986961
1/19/2018,43.091577,19.262712
1/20/2018,43.436344,19.537803
1/21/2018,43.738485,19.882883
1/22/2018,44.016504,20.319354
1/23/2018,44.275596,20.469924
1/24/2018,44.540447,20.841475
1/25/2018,44.893631,21.341301
1/26/2018,45.150812,21.507846
1/27/2018,45.409288,21.577281
1/28/2018,45.640704,21.921615
1/29/2018,45.925853,22.196511
1/30/2018,46.158735,22.133964
1/31/2018,46.442833,22.111524
2/1/2018,46.677689,22.197196
2/2/2018,46.864761,22.505214
2/3/2018,47.065526,22.604004
2/4/2018,47.259950,22.364945
2/5/2018,47.417254,22.422465
2/6/2018,47.653984,22.824605
2/7/2018,47.825717,23.117774
2/8/2018,48.003642,23.163094
2/9/2018,48.184766,23.632985
2/10/2018,48.366239,24.049099
2/11/2018,48.539916,24.228213
2/12/2018,48.819199,24.109323
2/13/2018,48.999756,24.109150
2/14/2018,49.193923,24.105530
2/15/2018,49.403866,24.664617
2/16/2018,49.617906,24.578034
2/17/2018,49.848614,24.776001
2/18/2018,50.075511,25.025896
2/19/2018,50.406512,25.439696
2/20/2018,50.649391,25.720233
2/21/2018,50.877701,25.805208
2/22/2018,51.091341,25.465255
2/23/2018,51.303471,25.506854
2/24/2018,51.509354,25.507307
2/25/2018,51.815728,25.805785
2/26/2018,52.030709,25.749194
2/27/2018,52.254015,25.712278
2/28/2018,52.476000,25.713047
3/1/2018,52.693641,25.926763
3/2/2018,52.935368,25.885917
3/3/2018,53.280188,25.949534
3/4/2018,53.517559,25.905628
3/5/2018,53.758681,26.197151
3/6/2018,53.987832,26.315134
3/7/2018,54.202722,26.875301
3/8/2018,54.401241,27.078372
3/9/2018,54.689905,27.428970
3/10/2018,54.876975,27.737562
3/11/2018,55.066274,28.036243
3/12/2018,55.259078,28.040424
3/13/2018,55.445543,28.037671
3/14/2018,55.618708,27.820419
3/15/2018,55.783095,27.997145
3/16/2018,56.057908,28.062515
3/17/2018,56.217399,27.880897
3/18/2018,56.370411,27.599869
3/19/2018,56.534815,27.699221
3/20/2018,56.706435,27.912761
