,Date,Price_btc,Open_btc,High_btc,Low_btc,Vol._btc,Change %_btc,Price_eth,Open_eth,High_eth,Low_eth,Vol._eth,Change %_eth,Date_doge,Price_doge,Open_doge,High_doge,Low_doge,Vol._doge,Change %_doge
0,2021-05-25,38378.3,38753.6,39740.8,36540.7,163010.0,-0.01,2705.09,2647.27,2747.49,2388.81,3280000.0,0.02,2021-05-25,0.3424,0.3644,0.3795,0.3232,8550000000.000001,-0.0605
1,2021-05-24,38750.6,34720.3,39851.7,34474.6,244880.0,0.12,2646.79,2101.3,2667.2,2080.87,3240000.0,0.26,2021-05-24,0.3644,0.306,0.3699,0.2958,8160000000.0,0.191
2,2021-05-23,34679.7,37446.8,38248.7,31192.4,325730.0,-0.07,2101.34,2292.68,2379.89,1739.91,3520000.0,-0.08,2021-05-23,0.306,0.3415,0.3497,0.2492,9450000000.0,-0.104
3,2021-05-22,37448.3,37291.0,38776.0,35314.9,185830.0,0.0,2291.6,2433.09,2481.06,2162.84,2820000.0,-0.06,2021-05-22,0.3415,0.3584,0.3597,0.3177,6330000000.0,-0.0472
4,2021-05-21,37297.4,40611.2,42108.3,33592.3,315500.0,-0.08,2433.11,2766.88,2931.66,2111.42,4230000.0,-0.12,2021-05-21,0.3584,0.3977,0.4112,0.315,8539999999.999999,-0.0989
5,2021-05-20,40717.2,36706.8,42425.9,35010.4,269750.0,0.11,2777.55,2436.59,2988.52,2163.4,4330000.0,0.14,2021-05-20,0.3977,0.3304,0.4326,0.2971,13850000000.0,0.204
6,2021-05-19,36720.5,42898.3,43516.6,30261.7,607100.0,-0.14,2435.69,3376.22,3434.01,1922.25,6420000.0,-0.28,2021-05-19,0.3304,0.4747,0.4779,0.2175,19280000000.0,-0.3041
7,2021-05-18,42897.3,43538.5,45770.9,42293.9,154960.0,-0.01,3377.55,3280.5,3558.57,3244.93,2300000.0,0.03,2021-05-18,0.4747,0.4864,0.5125,0.4689,4750000000.0,-0.024
8,2021-05-17,43541.3,46424.2,46545.4,42201.5,274760.0,-0.06,3279.68,3582.19,3582.27,3130.12,2850000.0,-0.08,2021-05-17,0.4864,0.5131,0.5148,0.4573,6840000000.0,-0.052
9,2021-05-16,46426.4,46729.3,49764.3,43920.8,180070.0,-0.01,3582.12,3643.67,3877.2,3351.92,2280000.0,-0.02,2021-05-16,0.513,0.5078,0.5472,0.4496,8260000000.0,0.011
10,2021-05-15,46708.8,49839.1,50640.9,46650.2,131910.0,-0.06,3641.65,4074.57,4129.99,3639.12,1940000.0,-0.11,2021-05-15,0.5074,0.5596,0.5633,0.4932,7920000000.0,-0.0932
11,2021-05-14,49839.8,49704.9,51459.2,48874.0,118840.0,0.0,4075.38,3719.46,4171.76,3694.54,2060000.0,0.1,2021-05-14,0.5596,0.487,0.5891,0.4646,16219999999.999998,0.1493
12,2021-05-13,49704.6,49398.2,51337.3,46331.1,236710.0,0.01,3719.62,3807.5,4031.99,3539.96,3210000.0,-0.02,2021-05-13,0.4869,0.3893,0.5148,0.3538,16690000000.000002,0.2512
13,2021-05-12,49384.2,56694.5,57938.5,49187.0,160740.0,-0.13,3811.77,4173.61,4366.1,3794.15,2780000.0,-0.09,2021-05-12,0.3892,0.4932,0.519,0.3858,8600000000.0,-0.211
14,2021-05-11,56695.7,55846.1,56871.1,54550.4,96470.0,0.02,4167.78,3948.66,4177.53,3781.86,1270000.0,0.06,2021-05-11,0.4932,0.45,0.5446,0.4429,12460000000.0,0.0961
15,2021-05-10,55848.9,58251.2,59523.9,53678.3,142610.0,-0.04,3947.9,3923.48,4203.98,3669.84,2700000.0,0.01,2021-05-10,0.45,0.5687,0.5687,0.4224,15360000000.0,-0.2087
16,2021-05-09,58238.3,58840.6,59227.0,56414.4,103590.0,-0.01,3922.23,3905.69,3979.77,3734.44,1940000.0,0.0,2021-05-09,0.5687,0.6353,0.6975,0.4236,37250000000.0,-0.1036
17,2021-05-08,58840.1,57330.3,59471.1,56972.2,101270.0,0.03,3905.55,3479.81,3952.88,3453.37,1340000.0,0.12,2021-05-08,0.6344,0.6869,0.7383,0.6052,16920000000.000002,-0.0764
18,2021-05-07,57337.2,56411.4,58639.3,55300.1,110010.0,0.02,3481.22,3490.83,3583.34,3363.56,1350000.0,0.0,2021-05-07,0.6869,0.5798,0.7299,0.5194,18810000000.0,0.1846
19,2021-05-06,56405.4,57441.0,58364.9,55294.5,109020.0,-0.02,3489.52,3522.74,3601.59,3380.6,1510000.0,-0.01,2021-05-06,0.5798,0.6535,0.663,0.5415,12970000000.0,-0.1152
20,2021-05-05,57441.3,53872.5,57936.4,53872.5,119820.0,0.07,3522.76,3284.31,3540.78,3228.86,1870000.0,0.07,2021-05-05,0.6554,0.5595,0.6938,0.5362,28030000000.0,0.1724
