Date,Open,High,Low,Close,Adj. close,Volume
31-Dec-09,10548.51,10555.01,10423.13,10428.05,10428.05,"13,79,40,000"
30-Dec-09,10544.36,10550.7,10505.66,10548.51,10548.51,"11,01,60,000"
29-Dec-09,10547.83,10580.33,10544.28,10545.41,10545.41,"9,28,90,000"
28-Dec-09,10517.91,10551.61,10506.34,10547.08,10547.08,"10,20,10,000"
24-Dec-09,10467.12,10522.06,10461.68,10520.09,10520.09,"5,26,70,000"
23-Dec-09,10464.32,10492.06,10437.8,10466.44,10466.44,"11,24,60,000"
22-Dec-09,10414.67,10479.82,10414.59,10464.93,10464.93,"13,50,80,000"
21-Dec-09,10330.1,10458.05,10329.8,10414.14,10414.14,"16,44,70,000"
18-Dec-09,10309.39,10372.35,10263.9,10328.89,10328.89,"48,00,80,000"
17-Dec-09,10439.99,10440.06,10307.96,10308.26,10308.26,"19,88,60,000"
16-Dec-09,10449.81,10509.97,10427.59,10441.12,10441.12,"20,83,10,000"
15-Dec-09,10499.31,10499.31,10426.69,10452,10452,"18,75,60,000"
14-Dec-09,10471.28,10514.66,10471.28,10501.05,10501.05,"15,43,60,000"
11-Dec-09,10403.41,10484.05,10400.08,10471.5,10471.5,"17,99,70,000"
10-Dec-09,10336,10444.6,10335.77,10405.83,10405.83,"19,59,10,000"
9-Dec-09,10282.85,10342.27,10235.63,10337.05,10337.05,"18,86,10,000"
8-Dec-09,10385.42,10385.65,10249.84,10285.97,10285.97,"22,17,70,000"
7-Dec-09,10386.86,10443.16,10360.18,10390.11,10390.11,"19,65,80,000"
4-Dec-09,10368.57,10516.7,10311.81,10388.9,10388.9,"46,06,60,000"
3-Dec-09,10455.63,10507.63,10350.05,10366.15,10366.15,"24,39,70,000"
2-Dec-09,10470.44,10513.52,10421.47,10452.68,10452.68,"15,95,00,000"
1-Dec-09,10343.82,10501.28,10343.44,10471.58,10471.58,"19,02,20,000"
30-Nov-09,10309.77,10364.34,10263.29,10344.84,10344.84,"22,35,80,000"
27-Nov-09,10452.23,10452.23,10231.25,10309.92,10309.92,"13,02,90,000"
25-Nov-09,10432.96,10481.48,10420.94,10464.4,10464.4,"13,00,80,000"
24-Nov-09,10451.25,10453.97,10359.58,10433.71,10433.71,"16,37,50,000"
23-Nov-09,10320.13,10495.61,10320.05,10450.95,10450.95,"18,23,50,000"
20-Nov-09,10327.91,10342.72,10271.68,10318.16,10318.16,"23,04,30,000"
19-Nov-09,10425.33,10425.33,10256.11,10332.44,10332.44,"19,62,50,000"
18-Nov-09,10426.27,10432.66,10360.1,10426.31,10426.31,"16,63,40,000"
17-Nov-09,10404.77,10438.17,10361.99,10437.42,10437.42,"15,83,20,000"
16-Nov-09,10267.53,10434.24,10267.45,10406.96,10406.96,"20,25,70,000"
13-Nov-09,10197.85,10305.69,10192.03,10270.47,10270.47,"16,72,80,000"
12-Nov-09,10289.82,10321.64,10171.24,10197.47,10197.47,"18,38,10,000"
11-Nov-09,10247.42,10341.97,10246.14,10291.26,10291.26,"16,69,20,000"
10-Nov-09,10223.01,10260.8,10197.69,10246.97,10246.97,"19,39,50,000"
9-Nov-09,10020.62,10228.23,10020.62,10226.94,10226.94,"22,74,70,000"
6-Nov-09,10001.35,10044.5,9936.81,10023.42,10023.42,"18,10,10,000"
5-Nov-09,9807.8,10013.07,9807.8,10005.96,10005.96,"21,10,40,000"
4-Nov-09,9767.3,9928.04,9767.14,9802.14,9802.14,"22,41,30,000"
3-Nov-09,9787.47,9787.47,9703.89,9771.91,9771.91,"23,15,20,000"
