Date,Open,High,Low,Close,Volume,Market Cap
6/1/2021,0.33,0.38,0.31,0.37,5796031087,48050998401
5/31/2021,0.3,0.33,0.29,0.33,2440829325,42298953606
5/30/2021,0.3,0.31,0.29,0.3,1929947933,39232589726
5/29/2021,0.31,0.32,0.28,0.3,2470710737,39344899569
5/28/2021,0.33,0.35,0.3,0.31,3289455640,40391360016
5/27/2021,0.35,0.35,0.33,0.33,2485942309,43208473793
5/26/2021,0.35,0.37,0.34,0.35,3355793260,45896157271
5/25/2021,0.37,0.38,0.32,0.35,5544552739,44932307822
5/24/2021,0.31,0.37,0.3,0.37,6821088755,47504120043
5/23/2021,0.34,0.35,0.25,0.31,7143545371,39963404929
5/22/2021,0.36,0.36,0.32,0.34,5243222352,44408253680
5/21/2021,0.4,0.41,0.31,0.36,7452862203,46609753575
5/20/2021,0.33,0.43,0.3,0.4,12415484460,51897302336
5/19/2021,0.48,0.68,0.22,0.33,15072620946,43194982873
5/18/2021,0.49,0.52,0.47,0.48,4802902841,61729644541
5/17/2021,0.51,0.52,0.46,0.49,7330830504,63249211418
5/16/2021,0.51,0.55,0.45,0.51,9541552064,66742824282
5/15/2021,0.56,0.56,0.49,0.51,9836892944,65838461456
5/14/2021,0.49,0.59,0.46,0.56,20466177002,72522897885
5/13/2021,0.39,0.52,0.36,0.49,18663174069,63544125614
5/12/2021,0.49,0.52,0.39,0.39,8621337859,49932901319
5/11/2021,0.45,0.55,0.45,0.5,14566975476,64161634641
5/10/2021,0.57,0.57,0.42,0.45,16514521828,58290605343
5/9/2021,0.64,0.7,0.43,0.57,46138063928,73841942943
5/8/2021,0.69,0.74,0.61,0.64,25555125135,82429781487
5/7/2021,0.58,0.73,0.52,0.68,28615083657,88680824303
5/6/2021,0.65,0.66,0.55,0.58,18989900291,75207782074
5/5/2021,0.54,0.7,0.52,0.66,42525098292,85147176077
5/4/2021,0.44,0.61,0.4,0.54,38238126181,70081925802
5/3/2021,0.37,0.45,0.37,0.44,10526649978,57177802914
5/2/2021,0.39,0.4,0.36,0.38,8040406918,48672985630
