Date,Price,Open,High,Low,Vol.,Change %
25-May-21,0.3424,0.3644,0.3795,0.3232,8.55B,-0.0605
24-May-21,0.3644,0.3060,0.3699,0.2958,8.16B,0.1910
23-May-21,0.3060,0.3415,0.3497,0.2492,9.45B,-0.1040
22-May-21,0.3415,0.3584,0.3597,0.3177,6.33B,-0.0472
21-May-21,0.3584,0.3977,0.4112,0.3150,8.54B,-0.0989
20-May-21,0.3977,0.3304,0.4326,0.2971,13.85B,0.2040
19-May-21,0.3304,0.4747,0.4779,0.2175,19.28B,-0.3041
18-May-21,0.4747,0.4864,0.5125,0.4689,4.75B,-0.0240
17-May-21,0.4864,0.5131,0.5148,0.4573,6.84B,-0.0520
16-May-21,0.5130,0.5078,0.5472,0.4496,8.26B,0.0110
15-May-21,0.5074,0.5596,0.5633,0.4932,7.92B,-0.0932
14-May-21,0.5596,0.4870,0.5891,0.4646,16.22B,0.1493
13-May-21,0.4869,0.3893,0.5148,0.3538,16.69B,0.2512
12-May-21,0.3892,0.4932,0.5190,0.3858,8.60B,-0.2110
11-May-21,0.4932,0.4500,0.5446,0.4429,12.46B,0.0961
10-May-21,0.4500,0.5687,0.5687,0.4224,15.36B,-0.2087
9-May-21,0.5687,0.6353,0.6975,0.4236,37.25B,-0.1036
8-May-21,0.6344,0.6869,0.7383,0.6052,16.92B,-0.0764
7-May-21,0.6869,0.5798,0.7299,0.5194,18.81B,0.1846
6-May-21,0.5798,0.6535,0.6630,0.5415,12.97B,-0.1152
5-May-21,0.6554,0.5595,0.6938,0.5362,28.03B,0.1724
4-May-21,0.5590,0.4383,0.5940,0.3984,31.90B,0.2756
3-May-21,0.4382,0.3725,0.4432,0.3725,9.97B,0.1768
2-May-21,0.3724,0.3907,0.3992,0.3639,8.20B,-0.0467
1-May-21,0.3906,0.3367,0.3966,0.3273,11.34B,0.1604
30-Apr-21,0.3366,0.3032,0.3383,0.3008,6.48B,0.1101
29-Apr-21,0.3032,0.3236,0.3238,0.2956,6.74B,-0.0629
28-Apr-21,0.3236,0.2707,0.3435,0.2556,21.22B,0.1955
27-Apr-21,0.2707,0.2701,0.2783,0.2640,5.38B,0.0032
26-Apr-21,0.2698,0.2512,0.2797,0.2474,7.90B,0.0745
