,Date,GLD_Price,BTC_Price
0,2017-06-05,121.7,2705.0
1,2017-06-06,123.1,2870.5
2,2017-06-07,122.4,2691.5
3,2017-06-08,121.7,2798.8
4,2017-06-09,120.5,2811.4
5,2017-06-12,120.4,2656.8
6,2017-06-13,120.5,2713.0
7,2017-06-14,119.8,2467.3
8,2017-06-15,119.3,2442.5
9,2017-06-16,119.3,2508.6
10,2017-06-19,118.4,2616.8
11,2017-06-20,118.2,2754.4
12,2017-06-21,118.5,2677.6
13,2017-06-22,118.9,2722.8
14,2017-06-23,119.4,2710.4
15,2017-06-26,118.4,2446.1
16,2017-06-27,118.8,2583.8
17,2017-06-28,118.9,2577.7
18,2017-06-29,118.3,2558.4
19,2017-06-30,118.0,2480.6
20,2017-07-03,116.1,2572.5
21,2017-07-05,116.5,2627.9
22,2017-07-06,116.5,2614.2
23,2017-07-07,115.3,2513.9
24,2017-07-10,115.5,2344.0
25,2017-07-11,115.6,2324.3
26,2017-07-12,116.0,2403.1
27,2017-07-13,115.8,2362.4
28,2017-07-14,116.8,2234.2
29,2017-07-17,117.3,2233.4
30,2017-07-18,118.1,2320.2
31,2017-07-19,118.1,2282.6
32,2017-07-20,118.2,2866.0
33,2017-07-21,119.3,2675.1
34,2017-07-24,119.3,2763.4
35,2017-07-25,118.9,2582.6
36,2017-07-26,119.9,2559.2
37,2017-07-27,119.8,2691.9
38,2017-07-28,120.7,2806.8
39,2017-07-31,120.8,2883.3
40,2017-08-01,120.7,2747.0
41,2017-08-02,120.4,2720.5
42,2017-08-03,120.6,2810.0
43,2017-08-04,119.7,2878.5
44,2017-08-07,119.5,3401.9
45,2017-08-08,119.9,3429.4
46,2017-08-09,121.3,3348.8
47,2017-08-10,122.2,3425.7
48,2017-08-11,122.8,3654.4
49,2017-08-14,121.9,4327.9
50,2017-08-15,121.0,4161.7
51,2017-08-16,121.9,4387.4
52,2017-08-17,122.5,4278.9
53,2017-08-18,122.3,4105.4
54,2017-08-21,122.8,4005.1
55,2017-08-22,122.2,4089.7
56,2017-08-23,122.7,4141.1
57,2017-08-24,122.3,4318.4
58,2017-08-25,122.7,4364.4
59,2017-08-28,124.7,4390.3
60,2017-08-29,124.4,4597.3
61,2017-08-30,124.4,4583.0
62,2017-08-31,125.8,4735.1
63,2017-09-01,126.1,4921.9
64,2017-09-05,127.5,4409.1
65,2017-09-06,126.8,4618.7
66,2017-09-07,128.1,4635.6
67,2017-09-08,128.0,4326.5
68,2017-09-11,126.2,4217.9
69,2017-09-12,126.6,4158.9
70,2017-09-13,125.6,3870.3
71,2017-09-14,126.2,3243.1
72,2017-09-15,125.5,3713.8
73,2017-09-18,124.4,4100.3
74,2017-09-19,124.6,3908.0
75,2017-09-20,123.6,3882.2
76,2017-09-21,122.7,3617.3
77,2017-09-22,123.2,3600.8
78,2017-09-25,124.5,3932.8
79,2017-09-26,123.1,3892.7
80,2017-09-27,122.0,4212.2
81,2017-09-28,122.2,4195.6
82,2017-09-29,121.6,4172.8
83,2017-10-02,120.8,4401.3
84,2017-10-03,120.8,4314.2
85,2017-10-04,121.2,4218.7
86,2017-10-05,120.5,4321.4
87,2017-10-06,121.1,4371.9
88,2017-10-09,122.1,4777.5
89,2017-10-10,122.4,4763.4
90,2017-10-11,122.8,4824.2
91,2017-10-12,122.9,5432.6
92,2017-10-13,123.8,5637.3
93,2017-10-16,123.0,5759.3
94,2017-10-17,122.1,5598.6
95,2017-10-18,121.7,5575.8
96,2017-10-19,122.4,5698.6
97,2017-10-20,121.6,5993.1
98,2017-10-23,121.8,5903.6
99,2017-10-24,121.3,5513.1
100,2017-10-25,121.3,5734.0
101,2017-10-26,120.3,5887.6
102,2017-10-27,120.9,5764.6
103,2017-10-30,121.1,6124.3
104,2017-10-31,120.7,6451.2
105,2017-11-01,121.1,6737.8
106,2017-11-02,121.2,7024.8
107,2017-11-03,120.6,7152.1
108,2017-11-06,121.7,6959.2
109,2017-11-07,121.2,7102.8
110,2017-11-08,121.6,7444.4
111,2017-11-09,122.1,7129.6
112,2017-11-10,121.1,6565.8
113,2017-11-13,121.3,6522.5
114,2017-11-14,121.6,6597.1
115,2017-11-15,121.4,7283.2
116,2017-11-16,121.4,7853.7
117,2017-11-17,122.9,7700.0
118,2017-11-20,121.3,8244.7
119,2017-11-21,121.5,8100.0
120,2017-11-22,122.6,8234.5
121,2017-11-24,122.3,8200.8
122,2017-11-27,122.8,9733.2
123,2017-11-28,122.8,9906.0
124,2017-11-29,122.0,9837.9
125,2017-11-30,121.1,9946.8
126,2017-12-01,121.6,10861.5
127,2017-12-04,121.2,11623.9
128,2017-12-05,120.3,11667.1
129,2017-12-06,120.1,13749.6
130,2017-12-07,118.5,16850.3
131,2017-12-08,118.5,16047.6
132,2017-12-11,118.0,16732.5
133,2017-12-12,118.2,17083.9
134,2017-12-13,119.2,16286.8
135,2017-12-14,118.9,16467.9
136,2017-12-15,119.2,17604.8
137,2017-12-18,119.7,18972.3
138,2017-12-19,119.8,17523.7
139,2017-12-20,120.1,16462.0
140,2017-12-21,120.3,15632.1
141,2017-12-22,120.9,13665.0
142,2017-12-26,121.8,15756.6
143,2017-12-27,122.2,15416.6
144,2017-12-28,122.8,14398.7
145,2017-12-29,123.7,14392.6
146,2018-01-02,125.2,14754.1
147,2018-01-03,124.8,15156.6
148,2018-01-04,125.5,15180.1
149,2018-01-05,125.3,16954.8
150,2018-01-08,125.3,14976.2
151,2018-01-09,124.7,14778.5
152,2018-01-10,125.0,15043.0
153,2018-01-11,125.4,13535.4
154,2018-01-12,127.0,13886.7
155,2018-01-16,127.2,11362.0
156,2018-01-17,126.1,11192.3
157,2018-01-18,125.9,11245.4
158,2018-01-19,126.4,11580.2
159,2018-01-22,126.7,10864.8
160,2018-01-23,127.3,10903.2
161,2018-01-24,128.8,11452.3
162,2018-01-25,128.0,11203.0
163,2018-01-26,128.1,11118.1
164,2018-01-29,127.3,11244.8
165,2018-01-30,126.8,10166.0
166,2018-01-31,127.7,10265.4
167,2018-02-01,128.1,9181.1
168,2018-02-02,126.4,8893.2
169,2018-02-05,126.7,6938.5
170,2018-02-06,125.4,7701.2
171,2018-02-07,124.8,7594.7
172,2018-02-08,125.0,8164.2
173,2018-02-09,124.8,8699.8
174,2018-02-12,125.4,8903.5
175,2018-02-13,126.1,8539.2
176,2018-02-14,128.2,9476.3
177,2018-02-15,128.4,10037.3
178,2018-02-16,128.0,10178.7
179,2018-02-20,126.2,11238.7
180,2018-02-21,125.7,10473.0
181,2018-02-22,126.3,9841.7
182,2018-02-23,126.1,10170.4
183,2018-02-26,126.4,10285.1
184,2018-02-27,125.1,10594.4
185,2018-02-28,125.0,10333.9
186,2018-03-01,124.7,10904.5
187,2018-03-02,125.4,10827.7
188,2018-03-05,125.2,11330.6
189,2018-03-06,126.5,10675.1
190,2018-03-07,125.7,9902.9
191,2018-03-08,125.4,9300.0
192,2018-03-09,125.5,9217.0
193,2018-03-12,125.5,9137.4
194,2018-03-13,125.8,9154.9
195,2018-03-14,125.7,8210.6
196,2018-03-15,124.9,8264.4
197,2018-03-16,124.6,8289.2
198,2018-03-19,124.9,8616.8
199,2018-03-20,124.3,8912.6
200,2018-03-21,126.5,8905.9
201,2018-03-22,126.0,8726.2
202,2018-03-23,127.6,8916.8
203,2018-03-26,128.3,8143.5
204,2018-03-27,127.5,7801.7
205,2018-03-28,125.7,7954.9
206,2018-03-29,125.8,7129.2
207,2018-04-02,127.3,7068.4
