Date,Open,High,Low,Close,Adj. close,Volume
12/31/2009,1126.60,1127.64,1114.81,1115.10,1115.10,"2,07,69,90,000"
12/30/2009,1125.53,1126.42,1121.94,1126.42,1126.42,"2,27,73,00,000"
12/29/2009,1128.55,1130.38,1126.08,1126.20,1126.20,"2,49,10,20,000"
12/28/2009,1127.53,1130.38,1123.51,1127.78,1127.78,"2,71,64,00,000"
12/24/2009,1121.08,1126.48,1121.08,1126.48,1126.48,"1,26,77,10,000"
12/23/2009,1118.84,1121.58,1116.00,1120.59,1120.59,"3,16,68,70,000"
12/22/2009,1114.51,1120.27,1114.51,1118.02,1118.02,"3,64,11,30,000"
12/21/2009,1105.31,1117.68,1105.31,1114.05,1114.05,"3,97,73,40,000"
12/18/2009,1097.86,1103.74,1093.88,1102.47,1102.47,"6,32,58,90,000"
12/17/2009,1106.36,1106.36,1095.88,1096.08,1096.08,"7,61,50,70,000"
12/16/2009,1108.61,1116.21,1107.96,1109.18,1109.18,"4,82,98,20,000"
12/15/2009,1114.11,1114.11,1105.35,1107.93,1107.93,"5,04,51,00,000"
12/14/2009,1107.84,1114.76,1107.84,1114.11,1114.11,"4,54,84,90,000"
12/11/2009,1103.96,1108.50,1101.34,1106.41,1106.41,"3,79,10,90,000"
12/10/2009,1098.69,1106.25,1098.69,1102.35,1102.35,"3,99,64,90,000"
12/9/2009,1091.07,1097.04,1085.89,1095.95,1095.95,"4,11,54,10,000"
12/8/2009,1103.04,1103.04,1088.61,1091.94,1091.94,"4,74,80,30,000"
12/7/2009,1105.52,1110.72,1100.83,1103.25,1103.25,"4,10,33,60,000"
12/4/2009,1100.43,1119.13,1096.52,1105.98,1105.98,"5,78,11,40,000"
12/3/2009,1110.59,1117.28,1098.74,1099.92,1099.92,"4,81,00,30,000"
12/2/2009,1109.03,1115.58,1105.29,1109.24,1109.24,"3,94,13,40,000"
12/1/2009,1098.89,1112.28,1098.89,1108.86,1108.86,"4,24,93,10,000"
11/30/2009,1091.07,1097.24,1086.25,1095.63,1095.63,"3,89,55,20,000"
11/27/2009,1105.47,1105.47,1083.74,1091.49,1091.49,"2,36,29,10,000"
11/25/2009,1106.49,1111.18,1104.75,1110.63,1110.63,"3,03,63,50,000"
11/24/2009,1105.83,1107.56,1097.63,1105.65,1105.65,"3,70,08,20,000"
11/23/2009,1094.86,1112.38,1094.86,1106.24,1106.24,"3,82,79,20,000"
11/20/2009,1094.66,1094.66,1086.81,1091.38,1091.38,"3,75,12,30,000"
11/19/2009,1106.44,1106.44,1088.40,1094.90,1094.90,"4,17,80,30,000"
11/18/2009,1109.44,1111.10,1102.70,1109.80,1109.80,"4,29,33,40,000"
11/17/2009,1109.22,1110.52,1102.19,1110.32,1110.32,"3,82,40,70,000"
11/16/2009,1094.13,1113.69,1094.13,1109.30,1109.30,"4,56,58,50,000"
11/13/2009,1087.59,1097.79,1085.33,1093.48,1093.48,"3,79,26,10,000"
11/12/2009,1098.31,1101.97,1084.90,1087.24,1087.24,"4,16,02,50,000"
11/11/2009,1096.04,1105.37,1093.81,1098.51,1098.51,"4,28,67,00,000"
11/10/2009,1091.86,1096.42,1087.40,1093.01,1093.01,"4,39,47,70,000"
11/9/2009,1072.31,1093.19,1072.31,1093.08,1093.08,"4,46,00,30,000"
11/6/2009,1064.95,1071.48,1059.32,1069.30,1069.30,"4,27,71,30,000"
11/5/2009,1047.30,1066.65,1047.30,1066.63,1066.63,"4,84,83,50,000"
11/4/2009,1047.14,1061.00,1045.15,1046.50,1046.50,"5,63,55,10,000"
11/3/2009,1040.92,1046.36,1033.94,1045.41,1045.41,"5,48,75,00,000"
11/2/2009,1036.18,1052.18,1029.38,1042.88,1042.88,"6,20,26,40,000"
10/30/2009,1065.41,1065.41,1033.38,1036.19,1036.19,"6,51,24,20,000"
10/29/2009,1043.69,1066.83,1043.69,1066.11,1066.11,"5,59,50,40,000"
10/28/2009,1061.51,1063.26,1042.19,1042.63,1042.63,"6,60,03,50,000"
10/27/2009,1067.54,1072.48,1060.62,1063.41,1063.41,"5,33,73,80,000"
10/26/2009,1080.36,1091.75,1065.23,1066.95,1066.95,"6,36,33,80,000"
10/23/2009,1095.62,1095.83,1075.49,1079.60,1079.60,"4,76,74,60,000"
10/22/2009,1080.96,1095.21,1074.31,1092.91,1092.91,"5,19,24,10,000"
10/21/2009,1090.36,1101.36,1080.77,1081.40,1081.40,"5,61,62,90,000"
10/20/2009,1098.64,1098.64,1086.16,1091.06,1091.06,"5,39,69,30,000"
10/19/2009,1088.22,1100.17,1086.48,1097.91,1097.91,"4,61,92,40,000"
10/16/2009,1094.67,1094.67,1081.53,1087.68,1087.68,"4,89,47,40,000"
10/15/2009,1090.36,1096.56,1086.41,1096.56,1096.56,"5,36,97,80,000"
10/14/2009,1078.68,1093.17,1078.68,1092.02,1092.02,"5,40,64,20,000"
10/13/2009,1074.96,1075.30,1066.71,1073.19,1073.19,"4,32,04,80,000"
10/12/2009,1071.63,1079.46,1071.63,1076.19,1076.19,"3,71,04,30,000"
10/9/2009,1065.28,1071.51,1063.00,1071.49,1071.49,"3,76,37,80,000"
10/8/2009,1060.03,1070.67,1060.03,1065.48,1065.48,"4,98,84,00,000"
10/7/2009,1053.65,1058.02,1050.10,1057.58,1057.58,"4,23,82,20,000"
10/6/2009,1042.02,1060.55,1042.02,1054.72,1054.72,"5,02,98,40,000"
10/5/2009,1026.87,1042.58,1025.92,1040.46,1040.46,"4,31,33,10,000"
10/2/2009,1029.71,1030.60,1019.95,1025.21,1025.21,"5,58,32,40,000"
10/1/2009,1054.91,1054.91,1029.45,1029.85,1029.85,"5,79,14,50,000"
9/30/2009,1061.02,1063.40,1046.47,1057.08,1057.08,"5,99,88,60,000"
9/29/2009,1063.69,1069.62,1057.83,1060.61,1060.61,"4,94,99,00,000"
9/28/2009,1045.38,1065.13,1045.38,1062.98,1062.98,"3,72,69,50,000"
9/25/2009,1049.48,1053.47,1041.17,1044.38,1044.38,"4,50,70,90,000"
9/24/2009,1062.56,1066.29,1045.85,1050.78,1050.78,"5,50,56,10,000"
9/23/2009,1072.69,1080.15,1060.39,1060.87,1060.87,"5,53,19,30,000"
9/22/2009,1066.35,1073.81,1066.35,1071.66,1071.66,"5,24,66,00,000"
9/21/2009,1067.14,1067.28,1057.46,1064.66,1064.66,"4,61,52,80,000"
9/18/2009,1066.60,1071.52,1064.27,1068.30,1068.30,"5,60,79,70,000"
9/17/2009,1067.87,1074.77,1061.20,1065.49,1065.49,"6,66,81,10,000"
9/16/2009,1053.99,1068.76,1052.87,1068.76,1068.76,"6,79,35,30,000"
9/15/2009,1049.03,1056.04,1043.42,1052.63,1052.63,"6,18,56,20,000"
9/14/2009,1040.15,1049.74,1035.00,1049.34,1049.34,"4,97,96,10,000"
9/11/2009,1043.92,1048.18,1038.40,1042.73,1042.73,"4,92,26,00,000"
9/10/2009,1032.99,1044.14,1028.04,1044.14,1044.14,"5,19,13,80,000"
9/9/2009,1025.36,1036.34,1023.97,1033.37,1033.37,"5,20,25,50,000"
9/8/2009,1018.67,1026.07,1018.67,1025.39,1025.39,"5,23,51,60,000"
9/4/2009,1003.84,1016.48,1001.65,1016.40,1016.40,"4,09,73,70,000"
9/3/2009,996.12,1003.43,992.25,1003.24,1003.24,"4,62,42,80,000"
9/2/2009,996.07,1000.34,991.97,994.75,994.75,"5,84,27,30,000"
9/1/2009,1019.52,1028.45,996.28,998.04,998.04,"6,86,23,60,000"
8/31/2009,1025.21,1025.21,1014.62,1020.62,1020.62,"5,00,45,60,000"
8/28/2009,1031.62,1039.47,1023.13,1028.93,1028.93,"5,78,57,80,000"
8/27/2009,1027.81,1033.33,1016.20,1030.98,1030.98,"5,78,58,80,000"
8/26/2009,1027.35,1032.47,1021.57,1028.12,1028.12,"5,08,00,60,000"
8/25/2009,1026.63,1037.75,1026.21,1028.00,1028.00,"5,76,87,40,000"
8/24/2009,1026.59,1035.82,1022.48,1025.57,1025.57,"6,30,24,50,000"
8/21/2009,1009.06,1027.59,1009.06,1026.13,1026.13,"5,88,55,50,000"
8/20/2009,996.41,1008.92,996.39,1007.37,1007.37,"4,89,31,60,000"
8/19/2009,986.88,999.61,980.62,996.46,996.46,"4,25,70,00,000"
8/18/2009,980.62,991.20,980.62,989.67,989.67,"4,19,89,70,000"
8/17/2009,998.18,998.18,978.51,979.73,979.73,"4,08,85,70,000"
8/14/2009,1012.23,1012.60,994.60,1004.09,1004.09,"4,94,07,50,000"
8/13/2009,1005.86,1013.14,1000.82,1012.73,1012.73,"5,25,06,60,000"
8/12/2009,994.00,1012.78,993.36,1005.81,1005.81,"5,49,81,70,000"
8/11/2009,1005.77,1005.77,992.40,994.35,994.35,"5,77,31,60,000"
8/10/2009,1008.89,1010.12,1000.99,1007.10,1007.10,"5,40,60,80,000"
8/7/2009,999.83,1018.00,999.83,1010.48,1010.48,"6,82,70,90,000"
8/6/2009,1004.06,1008.00,992.49,997.08,997.08,"6,75,33,80,000"
8/5/2009,1005.41,1006.64,994.31,1002.72,1002.72,"7,24,21,20,000"
8/4/2009,1001.41,1007.12,996.68,1005.65,1005.65,"5,71,37,00,000"
8/3/2009,990.22,1003.61,990.22,1002.63,1002.63,"5,60,34,40,000"
7/31/2009,986.80,993.18,982.85,987.48,987.48,"5,13,90,70,000"
7/30/2009,976.01,996.68,976.01,986.75,986.75,"6,03,51,80,000"
7/29/2009,977.66,977.76,968.65,975.15,975.15,"5,17,87,70,000"
7/28/2009,981.48,982.35,969.35,979.62,979.62,"5,49,03,50,000"
7/27/2009,978.63,982.49,972.29,982.18,982.18,"4,63,12,90,000"
7/24/2009,972.16,979.79,965.95,979.26,979.26,"4,45,83,00,000"
7/23/2009,954.07,979.42,953.27,976.29,976.29,"5,76,16,50,000"
7/22/2009,953.40,959.83,947.75,954.07,954.07,"4,63,41,00,000"
7/21/2009,951.97,956.53,943.22,954.58,954.58,"5,30,93,00,000"
7/20/2009,942.07,951.62,940.99,951.13,951.13,"4,85,31,50,000"
7/17/2009,940.56,941.89,934.65,940.38,940.38,"5,14,13,80,000"
7/16/2009,930.17,943.96,927.45,940.74,940.74,"4,89,86,40,000"
7/15/2009,910.15,933.95,910.15,932.68,932.68,"5,23,88,30,000"
7/14/2009,900.77,905.84,896.50,905.84,905.84,"4,14,90,30,000"
7/13/2009,879.57,901.05,875.32,901.05,901.05,"4,49,94,40,000"
7/10/2009,880.03,883.57,872.81,879.13,879.13,"3,91,20,80,000"
7/9/2009,881.28,887.86,878.45,882.68,882.68,"4,34,71,70,000"
7/8/2009,881.90,886.80,869.32,879.56,879.56,"5,72,17,80,000"
7/7/2009,898.60,898.60,879.93,881.03,881.03,"4,67,33,00,000"
7/6/2009,894.27,898.72,886.36,898.72,898.72,"4,71,25,80,000"
7/2/2009,921.24,921.24,896.42,896.42,896.42,"3,93,10,00,000"
7/1/2009,920.82,931.92,920.82,923.33,923.33,"3,91,94,00,000"
6/30/2009,927.15,930.01,912.86,919.32,919.32,"4,62,75,70,000"
6/29/2009,919.86,927.99,916.18,927.23,927.23,"4,21,17,60,000"
6/26/2009,918.84,922.00,913.03,918.90,918.90,"6,07,66,60,000"
6/25/2009,899.45,921.42,896.27,920.26,920.26,"4,91,12,40,000"
6/24/2009,896.31,910.85,896.31,900.94,900.94,"4,63,67,20,000"
6/23/2009,893.46,898.69,888.86,895.10,895.10,"5,07,10,20,000"
6/22/2009,918.13,918.13,893.04,893.04,893.04,"4,90,39,40,000"
6/19/2009,919.96,927.09,915.80,921.23,921.23,"5,71,33,90,000"
6/18/2009,910.86,921.93,907.94,918.37,918.37,"4,68,40,10,000"
6/17/2009,911.89,918.44,903.78,910.71,910.71,"5,52,36,50,000"
6/16/2009,925.60,928.00,911.60,911.97,911.97,"4,95,12,00,000"
6/15/2009,942.45,942.45,919.65,923.72,923.72,"4,69,78,80,000"
6/12/2009,943.44,946.30,935.66,946.21,946.21,"4,52,81,20,000"
6/11/2009,939.04,956.23,939.04,944.89,944.89,"5,50,08,40,000"
6/10/2009,942.73,949.77,927.97,939.15,939.15,"5,37,94,20,000"
6/9/2009,940.35,946.92,936.15,942.43,942.43,"4,43,99,50,000"
6/8/2009,938.12,946.33,926.44,939.14,939.14,"4,48,34,30,000"
6/5/2009,945.67,951.69,934.13,940.09,940.09,"5,27,79,10,000"
6/4/2009,932.49,942.47,929.32,942.46,942.46,"5,35,28,90,000"
6/3/2009,942.51,942.51,923.85,931.76,931.76,"5,32,37,70,000"
6/2/2009,942.87,949.38,938.46,944.74,944.74,"5,98,73,40,000"
6/1/2009,923.26,947.77,923.26,942.87,942.87,"6,37,04,40,000"
5/29/2009,907.02,920.02,903.56,919.14,919.14,"6,05,04,20,000"
5/28/2009,892.96,909.45,887.60,906.83,906.83,"5,73,89,80,000"
5/27/2009,909.95,913.84,891.87,893.06,893.06,"5,69,88,00,000"
