Rank,Bank,Country,"Market cap, US$b (January 20, 2017)"
1,JP Morgan Chase & Co,US,299.393
2,Wells Fargo & Co,US,276.578
3,Industrial & Commercial Bank of China (ICBC),China,229.7
4,Bank of America,US,228.778
5,China Construction Bank,China,186.818
6,HSBC Holdings,UK,165.839
7,Citigroup Inc,US,159.898
8,Agricultural Bank of China,China,148.1
9,Bank of China,China,145.729
10,Commonwealth Bank of Australia,Australia,106.355
11,Royal Bank of Canada,Canada,104.962
12,Goldman Sachs Group,US,96.934
13,Toronto-Dominion Bank,Canada,94.015
14,Mitsubishi UFJ Financial Group (MUFG),Japan,90.114
15,US Bancorp,US,87.023
16,Westpac Banking Corporation,Australia,81.297
17,BNP Paribas,France,79.836
18,Morgan Stanley,US,79.763
19,Banco Santander,Spain,79.182
20,Itau Unibanco Holding,Brazil,70.613
21,Bank of Nova Scotia (Scotiabank),Canada,70.176
22,China Merchants Bank,China,67.114
23,Australia & New Zealand Banking (ANZ),Australia,65.297
24,UBS Group AG,Switzerland,64.038
25,Sberbank of Russia,Russia,61.469
26,National Australia Bank,Australia,60.989
27,Bank of Communications,China,60.025
28,Lloyds Banking Group,UK,58.414
29,PNC Financial Services,US,57.091
30,Sumitomo Mitsui Financial,Japan,55.431
31,ING Group,Netherlands,55.34
32,Charles Schwab,US,54.764
33,HDFC Bank Limited,India,54.643
34,Banco Bradesco,Brazil,54.531
35,Japan Post Bank,Japan,54.088
36,Shanghai Pudong Development Bank,China,52.303
37,Bank of Montreal (BMO),Canada,47.936
38,Nordea Bank,Sweden,47.222
39,China Minsheng Banking Corp (CMBC),China,47.199
40,Bank of New York Mellon,US,47.115
41,Barclays Plc,UK,46.878
42,Mizuho Financial Group,Japan,46.838
43,Industrial Bank Co,China,46.594
44,China Citic Bank,China,44.227
45,Intesa Sanpaolo,Italy,44.162
46,BBVA,Spain,43.077
47,Capital One Financial,US,42.124
48,BOC Hong Kong,Hong Kong,41.627
49,Societe Generale,France,39.719
50,Hang Seng Bank,Hong Kong,38.027
